Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
4,512,32,2,15
4,512,32,3,12
4,512,32,4,9
4,512,64,0,0
4,512,64,1,0
4,512,64,2,3
4,512,64,3,1
4,512,64,4,1
4,512,128,0,0
4,512,128,1,0
4,512,128,2,0
4,512,128,3,0
4,512,128,4,0
4,512,256,0,61
4,512,256,1,162
4,512,256,2,55
4,512,256,3,26
4,512,256,4,46
4,512,512,0,268
4,512,512,1,492
4,512,512,2,239
4,512,512,3,239
4,512,512,4,438
4,1024,4,0,98
4,1024,4,1,103
4,1024,4,2,104
4,1024,4,3,108
4,1024,4,4,104
4,1024,8,0,113
4,1024,8,1,116
4,1024,8,2,114
4,1024,8,3,112
4,1024,8,4,137
4,1024,16,0,73
4,1024,16,1,64
4,1024,16,2,76
4,1024,16,3,69
4,1024,16,4,89
4,1024,32,0,21
4,1024,32,1,21
4,1024,32,2,22
4,1024,32,3,21
4,1024,32,4,25
4,1024,64,0,1
4,1024,64,1,3
4,1024,64,2,1
4,1024,64,3,0
4,1024,64,4,0
4,1024,128,0,141
4,1024,128,1,279
4,1024,128,2,102
4,1024,128,3,86
4,1024,128,4,116
4,1024,256,0,542
4,1024,256,1,990
4,1024,256,2,495
4,1024,256,3,475
4,1024,256,4,870
4,1024,512,0,782
4,1024,512,1,1008
4,1024,512,2,740
4,1024,512,3,727
4,1024,512,4,1009
4,2048,4,0,206
4,2048,4,1,202
4,2048,4,2,199
4,2048,4,3,192
4,2048,4,4,219
4,2048,8,0,228
4,2048,8,1,215
4,2048,8,2,219
4,2048,8,3,222
4,2048,8,4,226
4,2048,16,0,153
4,2048,16,1,144
4,2048,16,2,155
4,2048,16,3,167
4,2048,16,4,162
4,2048,32,0,46
4,2048,32,1,45
4,2048,32,2,46
4,2048,32,3,36
4,2048,32,4,47
4,2048,64,0,278
4,2048,64,1,493
4,2048,64,2,271
4,2048,64,3,178
4,2048,64,4,325
4,2048,128,0,1097
4,2048,128,1,1962
4,2048,128,2,1031
4,2048,128,3,971
4,2048,128,4,1825
4,2048,256,0,1569
4,2048,256,1,2027
4,2048,256,2,1500
4,2048,256,3,1473
4,2048,256,4,2031
4,2048,512,0,1799
4,2048,512,1,2038
4,2048,512,2,1753
4,2048,512,3,1748
4,2048,512,4,2033
Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
8,4,4,0,1
8,4,4,1,0
8,4,4,2,2
8,4,4,3,0
8,4,4,4,0
8,4,8,0,0
8,4,8,1,0
8,4,8,2,1
8,4,8,3,0
8,4,8,4,0
8,4,16,0,0
8,4,16,1,0
8,4,16,2,0
8,4,16,3,0
8,4,16,4,1
8,4,32,0,0
8,4,32,1,0
8,4,32,2,0
8,4,32,3,0
8,4,32,4,0
8,4,64,0,0
8,4,64,1,0
8,4,64,2,0
8,4,64,3,0
8,4,64,4,0
8,4,128,0,0
8,4,128,1,0
8,4,128,2,0
8,4,128,3,0
8,4,128,4,0
8,4,256,0,0
8,4,256,1,0
8,4,256,2,0
8,4,256,3,0
8,4,256,4,0
8,4,512,0,0
8,4,512,1,0
8,4,512,2,0
8,4,512,3,0
8,4,512,4,0
8,8,4,0,0
8,8,4,1,0
8,8,4,2,0
8,8,4,3,1
8,8,4,4,2
8,8,8,0,2
8,8,8,1,0
8,8,8,2,1
8,8,8,3,2
8,8,8,4,1
8,8,16,0,0
8,8,16,1,0
8,8,16,2,1
8,8,16,3,2
8,8,16,4,1
8,8,32,0,0
8,8,32,1,0
8,8,32,2,0
8,8,32,3,1
8,8,32,4,0
8,8,64,0,0
8,8,64,1,0
8,8,64,2,0
8,8,64,3,0
8,8,64,4,0
8,8,128,0,0
8,8,128,1,0
8,8,128,2,0
8,8,128,3,0
8,8,128,4,0
8,8,256,0,0
8,8,256,1,0
8,8,256,2,0
8,8,256,3,0
8,8,256,4,0
8,8,512,0,0
8,8,512,1,0
8,8,512,2,0
8,8,512,3,0
8,8,512,4,0
8,16,4,0,1
8,16,4,1,2
8,16,4,2,1
8,16,4,3,3
8,16,4,4,0
8,16,8,0,3
8,16,8,1,0
8,16,8,2,1
8,16,8,3,0
8,16,8,4,1
8,16,16,0,2
8,16,16,1,1
8,16,16,2,1
8,16,16,3,0
8,16,16,4,1
8,16,32,0,0
8,16,32,1,2
8,16,32,2,0
8,16,32,3,0
8,16,32,4,0
8,16,64,0,0
8,16,64,1,0
8,16,64,2,0
8,16,64,3,0
8,16,64,4,0
8,16,128,0,0
8,16,128,1,0
8,16,128,2,0
8,16,128,3,0
8,16,128,4,0
8,16,256,0,0
8,16,256,1,0
8,16,256,2,0
8,16,256,3,0
8,16,256,4,0
8,16,512,0,0
8,16,512,1,0
8,16,512,2,0
8,16,512,3,0
8,16,512,4,0
8,32,4,0,2
8,32,4,1,2
8,32,4,2,2
8,32,4,3,3
8,32,4,4,2
8,32,8,0,2
8,32,8,1,4
8,32,8,2,2
8,32,8,3,2
8,32,8,4,7
8,32,16,0,3
8,32,16,1,4
8,32,16,2,4
8,32,16,3,2
8,32,16,4,4
8,32,32,0,0
8,32,32,1,1
8,32,32,2,0
8,32,32,3,0
