Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
8,16,64,4,0
8,16,128,0,0
8,16,128,1,0
8,16,128,2,0
8,16,128,3,0
8,16,128,4,0
8,16,256,0,0
8,16,256,1,0
8,16,256,2,0
8,16,256,3,0
8,16,256,4,0
8,16,512,0,0
8,16,512,1,0
8,16,512,2,0
8,16,512,3,0
8,16,512,4,0
8,32,4,0,4
8,32,4,1,3
8,32,4,2,4
8,32,4,3,4
8,32,4,4,5
8,32,8,0,3
8,32,8,1,3
8,32,8,2,4
8,32,8,3,3
8,32,8,4,2
8,32,16,0,0
8,32,16,1,5
8,32,16,2,2
8,32,16,3,2
8,32,16,4,0
8,32,32,0,1
8,32,32,1,0
8,32,32,2,4
